geoname_id	name	preferred	historic	from	to
473991	Вешкелица	1	0
473994	Вешкайма	1	0
474116	Весело-Вознесенка	1	0
474131	Весёловка	1	0
474231	Вершинино	1	0
474264	Верницы	1	0
474288	Вехручей	1	0
474290	Верхозим	1	0
474297	Верховье	1	0
474304	Верховье	1	0
474305	Верховье	1	0
474324	Верховье	1	0
474350	Верховина	1	0
474462	Верхняя Тура	1	0
474470	Верхняя Тойма	1	0
474473	Верхняя Тишанка	1	0
474510	Верхняя Шкова	1	0
474743	Верхняя Балкария	1	0
474785	Верхний Волок	1	0
474795	Верхний Услон	1	0
474821	Верхний Тагил	1	0
474926	Верхний Ломов	1	0
474931	Верхний Ландех	1	0
474940	Верхний Куркужин	1	0
475030	Верхние Татышлы	1	0
475041	Верхние Серги	1	0
475060	Верхние Осельки	1	0
475071	Верхние Мандроги	1	0
475100	Верхние Киги	1	0
475206	Верхний Авзян	1	0
475422	Верхнее Альмурзино	1	0
475463	Верхнеуральск	1	0
475469	Верхнетуломский	1	0
475483	Верхнее Сяглово	1	0
475505	Верхнерусское	1	0
475614	Верхнеднепровский	1	0
475700	Верея	1	0
475717	Веретье	1	0
475771	Верещаки	1	0
475785	Верепье	1	0
475861	Вепрево	1	0
475892	Венекюля	1	0
475903	Вельево	1	0
475934	Вельца	1	0
475950	Велькота	1	0
475979	Великое Село	1	0
475981	Великое Село	1	0
476014	Великое	1	0
476035	Великорецкое	1	0
476046	Великооктябрьский	1	0
476055	Великодворский	1	0
476091	Великий Двор	1	0
476095	Великий Двор	1	0
476114	Великая Нива	1	0
476143	Велигонты	1	0
476204	Кучерово	1	0
476372	Ватутинки	1	0
476387	Моряково	1	0
476441	Вассакара	1	0
476490	Васкиничи	1	0
476500	Васкелово	1	0
476548	Васильевский Мох	1	0
476578	Васильевская	1	0
476599	Васильево	1	0
477008	Варламов	1	0
477020	Вариксолово	1	0
477068	Вараксино	1	0
477170	Ванакюля	1	0
477192	Валуйки	1	0
477197	Валуево	1	0
477198	Валуево	1	0
477274	Валгома	1	0
477302	Валдость	1	0
477326	Осиновка	1	0
477509	Узигонты	1	0
477605	Увелье	1	0
477611	Увары	1	0
477680	Утта	1	0
477710	Утликово	1	0
477907	Усть-Вымь	1	0
477940	Усть-Цильма	1	0
478015	Усть-Нерманка	1	0
478057	Усть-Койсуг	1	0
478130	Усть-Джегута	1	0
478197	Успенская	1	0
478269	Усолье	1	0
478307	Усманово	1	0
478488	Усадище-Дыми	1	0
478494	Усадище	1	0
478496	Усадище	1	0
478497	Усадищи	1	0
478538	Урыв-Покровка	1	0
478581	Урус-Мартан	1	0
478620	Уршельский	1	0
478757	Урень	1	0
478781	Уразово	1	0
478830	Уральское	1	0
478849	Уралец	1	0
479055	Умёт	1	0
479123	Ульяновск	1	0
479124	Ульяновщина	1	0
479139	Ульяново	1	0
479170	Ульянково	1	0
479241	Уллубийаул	1	0
479242	Уллуая	1	0
479302	Улан-Эрге	1	0
479423	Ухора	1	0
479500	Угол	1	0
479522	Углово	1	0
479532	Углич	1	0
479539	Углегорский	1	0
479580	Удосолово	1	0
479617	Удино	1	0
479640	Удельная	1	0
479664	Удальцово	1	0
479685	Учкулан	1	0
479871	Тюльган	1	0
480004	Тяпкино	1	0
480022	Тягаево	1	0
480060	Тверь	1	0
480250	Турково	1	0
480295	Тургошь	1	0
480354	Турандино	1	0
480482	Тумак	1	0
480771	Цветочное	1	0
480967	Торфяное	1	0
480985	Центральный	1	0
481015	Цементово	1	0
481039	Целегора	1	0
481221	Труфаново	1	0
481224	Труфаново	1	0
481228	Труфаново	1	0
481287	Трудфронт	1	0
481350	Трубчевск	1	0
481424	Тростань	1	0
481502	Троицкое	1	0
481597	Троицкий	1	0
481611	Троице-Сельцо	1	0
481680	Три Озера	1	0
481750	Третий Рудник	1	0
481804	Трёхречье	1	0
481817	Трёхгорный	1	0
481818	Трехгорка	1	0
481820	Трёхденево	1	0
481841	Требиятский	1	0
481938	Товарково	1	0
482065	Торковичи	1	0
482097	Торфяновка	1	0
482219	Тоншаево	1	0
482230	Тонкино	1	0
482260	Томилино	1	0
482283	Тольятти	1	0	1964
482309	Толстой-Юрт	1	0
482320	Толстово	1	0
482357	Толсть	1	0
482390	Толмачево	1	0
482522	Токарёвка	1	0
482582	Тлюстенхабль	1	0
482714	Тишково	1	0
482823	Перевоз	1	0
482886	Тимохово	1	0
482965	Тимашёвск	1	0
483005	Тикопись	1	0
483156	Тедрово	1	0
483240	Теряево	1	0
483269	Терскол	1	0
483288	Терса	1	0
483326	Терновская	1	0
483445	Терехунь	1	0
483468	Терехово	1	0
483508	Терёбуня	1	0
483552	Тёплый Стан	1	0
483561	Тепляково	1	0
483570	Теплухино	1	0
483575	Теплое	1	0
483638	Тенишево	1	0
483642	Теньгушево	1	0
483689	Тёмкино	1	0
483749	Тельцово	1	0
483898	Тайцы	1	0
484017	Тацинская	1	0
484116	Татарский Елтан	1	0
484127	Каргала	1	0
484277	Тарычево	1	0
484367	Таремское	1	0
484414	Тарасово	1	0
484449	Тарасовка	1	0
484509	Таракса	1	0
484619	Дубки	1	0
484712	Талпаки	1	0
484815	Талеж	1	0
484856	Агидель	1	0
485002	Сюйська	1	0
485050	Сюрьга	1	0
485153	Сырское	1	0
485162	Сыростан	1	0
485187	Сырецкое	1	0
485239	Сыктывкар	1	0
485267	Сычово	1	0
485273	Сычево	1	0
485313	Сясьстрой	1	0
485382	Святск	1	0
